Head,Relation,Tail
"贾琮","子","贾赦"
"周秀才","姐夫","贾巧姐"
"嫣红","妾","贾赦"
"贾迎春","女","贾赦"
"娇红","妾","贾赦"
"王信","奴仆","贾琏"
"秋桐","妾","贾琏"
"王熙凤","妻","贾琏"
"兴儿","奴仆","贾琏"
"王夫人之大兄凤姐之父","子","凤姐之祖王夫人之父"
"王信媳妇","奴仆","贾琏"
"来旺儿","奴仆","王熙凤"
"贾赦","子","贾代善"
"林红玉","丫鬟","王熙凤"
"老舅太太","妻","王夫人之大兄凤姐之父"
"林之孝","父亲","林红玉"
"邢夫人","妻","贾赦"
"丰儿","丫鬟","王熙凤"
"费婆子","丫鬟","邢夫人"
"张大老爷之女","女","张大老爷"
"翠云","妾","贾赦"
"王住儿媳妇","子媳","迎春乳母"
"莲花儿","丫鬟","贾迎春"
"鲍二","奴仆","贾琏"
"贾琏","子","贾赦"
"贾巧姐","女","贾琏"
"昭儿","奴仆","贾琏"
"李妈","乳母","贾巧姐"
"王善保","奴仆","邢夫人"
"平儿","妾","贾琏"
"刑大舅二姐","妹","邢夫人"
"周妈妈","母亲","周秀才"
"尤二姐","女","尤老娘"
"隆儿","奴仆","贾琏"
"旺儿媳妇","丫鬟","王熙凤"
"秦思祺","丫鬟","贾迎春"
"彩明","丫鬟","王熙凤"
"迎春乳母","乳母","贾迎春"
"邢德全","弟","邢夫人"
"潘又安","男友","秦思祺"
"刑秞烟","女","邢忠"
"王熙凤","女","王夫人之大兄凤姐之父"
"邢忠","兄","邢夫人"
"绣桔","丫鬟","贾迎春"
"孙亲太太","母亲","孙绍祖"
"尤二姐","妾","贾琏"
"庆儿","奴仆","贾琏"
"贾琮奶妈","乳母","贾琮"
"赵嬷嬷","乳母","贾琏"
"善姐","丫鬟","尤二姐"
"孙绍祖","夫","贾迎春"
"来喜家的","奴仆","王熙凤"
"周财主","父亲","周秀才"
"张大老爷","老亲","邢夫人"
"王仁","子","王夫人之大兄凤姐之父"
