Name,ClusterNo,Property,Degree,Visited,Border
"""王信""",2,保护,1,true,false
"""吴贵""",1,噪声,1,true,false
"""贾化""",0,噪声,5,true,false
"""李守中""",1,噪声,2,true,false
"""彩云""",1,保护,1,true,false
"""偕鸾""",4,保护,1,true,false
"""何婆""",1,噪声,2,true,false
"""贾王扁之母""",0,噪声,2,true,false
"""媚人""",1,保护,1,true,false
"""周贵人""",1,噪声,2,true,false
"""贾瑞之父""",0,噪声,3,true,false
"""王老爷""",0,噪声,1,true,false
"""平原侯""",0,噪声,1,true,false
"""良儿""",1,保护,1,true,false
"""锦乡侯诰命""",0,噪声,1,true,false
"""甄应嘉""",1,噪声,6,true,false
"""彩明""",2,保护,1,true,false
"""倪二""",0,噪声,4,true,false
"""芳官""",1,噪声,1,true,false
"""贾王扁""",0,噪声,1,true,false
"""宋嬷嬷""",1,保护,1,true,false
"""太上皇""",1,噪声,4,true,false
"""香菱""",1,噪声,2,true,false
"""冯紫英""",0,噪声,1,true,false
"""茄官""",4,噪声,1,true,false
"""善姐""",2,噪声,2,true,false
"""赖嬷嬷""",0,噪声,1,true,false
"""贾迎春""",2,边界,6,true,false
"""双寿""",1,保护,1,true,false
"""梅翰林之子""",1,噪声,2,true,false
"""石光珠""",0,噪声,1,true,false
"""夏三""",1,噪声,1,true,false
"""贾宝玉""",1,高密度,41,true,false
"""李公子""",3,噪声,2,true,false
"""王子腾之女""",1,噪声,2,true,false
"""玻璃""",5,保护,1,true,false
"""宝珠""",4,噪声,1,true,false
"""篆儿""",1,边界,2,true,false
"""贾桂""",1,保护,1,true,false
"""王公""",1,噪声,1,true,false
"""贾代化""",4,噪声,6,true,false
"""史湘云""",5,噪声,5,true,false
"""韩奇""",0,噪声,1,true,false
"""伴鹤""",1,保护,1,true,false
"""李贵""",1,噪声,1,true,false
"""李嬷嬷""",1,边界,2,true,false
"""来喜家的""",2,保护,1,true,false
"""柳彪""",0,噪声,1,true,false
"""尤三姐""",4,噪声,2,true,false
"""倪儿娘子""",0,噪声,1,true,false
"""瑞珠""",4,噪声,1,true,false
"""平儿""",2,保护,1,true,false
"""佳蕙""",1,保护,1,true,false
"""薛宝琴父""",1,噪声,4,true,false
"""麝月""",1,保护,1,true,false
"""碧月""",1,噪声,1,true,false
"""秦思祺""",2,噪声,2,true,false
"""素云""",1,噪声,1,true,false
"""孙亲太太""",2,噪声,1,true,false
"""晴雯""",1,边界,4,true,false
"""绣凤""",1,保护,1,true,false
"""智能儿""",3,边界,3,true,false
"""梅翰林""",1,噪声,1,true,false
"""谢鲸""",0,噪声,1,true,false
"""臻儿""",1,噪声,1,true,false
"""秋桐""",2,保护,1,true,false
"""锦田侯诰命""",0,噪声,1,true,false
"""宝钗祖父""",1,噪声,3,true,false
"""喜儿""",4,边界,2,true,true
"""镇国公诰命长男""",0,噪声,1,true,false
"""袭人""",0,噪声,2,true,false
"""何三""",1,噪声,1,true,false
"""尤二姐""",2,边界,5,true,true
"""丰儿""",2,保护,1,true,false
"""卜世仁""",0,噪声,5,true,false
"""贾珠""",1,边界,3,true,false
"""李衙内""",0,噪声,1,true,false
"""王成""",1,噪声,2,true,false
"""牛继宗""",0,噪声,1,true,false
"""旺儿媳妇""",2,保护,1,true,false
"""凤姐之祖王夫人之父""",1,边界,7,true,true
"""珍珠""",5,保护,1,true,false
"""贾敬""",4,边界,4,true,false
"""尤氏""",4,边界,5,true,false
"""老叶妈""",1,噪声,1,true,false
"""胡老爷太太""",3,保护,1,true,false
"""杏奴""",4,噪声,1,true,false
"""小霞""",1,噪声,1,true,false
"""雪雁""",1,噪声,1,true,false
"""周嫂子的儿子""",1,噪声,1,true,false
"""周奶妈""",5,噪声,1,true,false
"""贾芹""",0,噪声,1,true,false
"""莲花儿""",2,噪声,1,true,false
"""小吉祥""",1,噪声,1,true,false
"""荳官""",1,噪声,1,true,false
"""林如海之子""",1,噪声,1,true,false
"""龄官""",4,噪声,1,true,false
"""薛姨妈""",1,噪声,4,true,false
"""尤老娘""",4,噪声,3,true,true
"""贾蓉""",4,边界,4,true,false
"""林如海""",1,噪声,5,true,false
"""天子之妻""",0,噪声,1,true,false
"""抱琴""",1,噪声,1,true,false
"""墨雨""",1,保护,1,true,false
"""夏婆子""",1,噪声,3,true,false
"""柳五儿""",1,边界,4,true,false
"""大姑娘""",1,噪声,1,true,false
"""绣桔""",2,噪声,1,true,false
"""贾芸""",0,噪声,3,true,false
"""蕊官""",1,噪声,2,true,false
"""周秀才""",2,噪声,3,true,false
"""刘姥姥""",1,噪声,1,true,false
"""翠墨""",1,噪声,1,true,false
"""刑大舅二姐""",2,噪声,1,true,false
"""张大老爷之女""",2,噪声,1,true,false
"""倪二女儿""",0,噪声,1,true,false
"""金荣""",4,噪声,1,true,false
"""马尚""",0,噪声,1,true,false
"""地藏庵的圆心""",1,噪声,1,true,false
"""庆儿""",2,保护,1,true,false
"""老舅太太""",2,噪声,1,true,false
"""贾敏""",1,边界,3,true,false
"""艾官""",1,噪声,1,true,false
"""贾代善""",1,边界,6,true,true
"""贾兰""",1,噪声,2,true,false
"""侯明""",0,噪声,1,true,false
"""裘良""",0,噪声,1,true,false
"""绮霞""",1,保护,1,true,false
"""西宁郡王之孙""",0,噪声,1,true,false
"""胡氏""",4,噪声,3,true,false
"""花自芳""",0,噪声,1,true,false
"""吴天佑""",1,噪声,1,true,false
"""薛公之孙""",1,噪声,4,true,false
"""多浑虫父亲""",1,噪声,1,true,false
"""茜雪""",1,保护,1,true,false
"""赵嬷嬷""",1,边界,4,true,true
"""周妈妈""",2,噪声,1,true,false
"""李婶""",1,噪声,4,true,false
"""邢岫烟""",1,噪声,1,true,false
"""贾琼之母""",0,噪声,2,true,false
"""蒋子宁""",0,噪声,1,true,false
"""胡老爷""",3,保护,1,true,false
"""迎春乳母""",2,噪声,2,true,false
"""葵官""",5,噪声,1,true,false
"""李纹""",1,噪声,1,true,false
"""二姑娘""",1,噪声,1,true,false
"""保宁侯之子""",1,噪声,1,true,false
"""马道婆""",0,噪声,1,true,false
"""王住儿媳妇""",2,噪声,1,true,false
"""贾探春""",1,边界,6,true,false
"""贾琮奶妈""",2,噪声,1,true,false
"""王夫人""",1,高密度,10,true,false
"""小鹊""",1,噪声,1,true,false
"""锄药""",1,保护,1,true,false
"""翡翠""",5,保护,1,true,false
"""潘又安""",2,噪声,1,true,false
