Name,ClusterNo,Property,Degree,Visited,Border
张大老爷,2,噪声,2,false,true
丰儿,2,保护,1,false,false
赵嬷嬷,0,噪声,1,false,false
嫣红,2,保护,1,false,false
王善保,2,噪声,1,false,false
莲花儿,2,噪声,1,false,false
周妈妈,2,噪声,1,false,false
孙绍祖,2,噪声,2,false,true
平儿,2,保护,1,false,false
尤老娘,4,噪声,3,false,true
凤姐之祖王夫人之父,1,边界,7,false,true
来旺儿,2,保护,1,false,false
邢夫人,2,边界,7,false,false
兴儿,2,保护,1,false,false
老舅太太,2,噪声,1,false,false
林红玉,2,边界,2,false,false
王夫人之大兄凤姐之父,2,边界,4,false,true
隆儿,2,保护,1,false,false
邢忠,2,噪声,2,false,true
娇红,2,保护,1,false,false
王住儿媳妇,2,噪声,1,false,false
贾琮奶妈,2,噪声,1,false,false
庆儿,2,保护,1,false,false
刑大舅二姐,2,噪声,1,false,false
贾琏,2,高密度,15,false,false
王熙凤,2,高密度,8,false,false
尤二姐,2,边界,5,false,true
鲍二,2,保护,1,false,false
周财主,2,噪声,1,false,false
王仁,2,噪声,1,false,false
邢德全,2,噪声,1,false,false
贾巧姐,2,边界,3,false,false
贾琮,2,边界,2,false,false
贾代善,0,噪声,1,false,false
潘又安,2,噪声,1,false,false
秦思祺,2,噪声,2,false,false
王信,2,保护,1,false,false
周秀才,2,噪声,3,false,false
翠云,2,保护,1,false,false
昭儿,2,保护,1,false,false
孙亲太太,0,噪声,1,false,false
善姐,2,噪声,2,false,false
林之孝,2,噪声,1,false,false
彩明,2,保护,1,false,false
刑秞烟,1,噪声,2,false,true
张大老爷之女,0,噪声,1,false,false
王信媳妇,2,保护,1,false,false
费婆子,2,噪声,1,false,false
绣桔,2,噪声,1,false,false
来喜家的,2,保护,1,false,false
秋桐,2,保护,1,false,false
旺儿媳妇,2,保护,1,false,false
贾迎春,2,边界,6,false,false
李妈,2,噪声,1,false,false
贾赦,2,高密度,8,false,false
迎春乳母,2,噪声,2,false,false
