Head,Relation,Tail
"彩屏","丫鬟","贾惜春"
"秦可卿","女","秦业"
"秦可卿","妻","贾蓉"
"贾代化","子","贾演"
"尤氏","女","尤老娘"
"入画","丫鬟","贾惜春"
"贾蔷","玄孙","贾演"
"寿儿","奴仆","贾珍"
"贾演","兄","贾源"
"贾敬","子","贾代化"
"贾蓉","子","贾珍"
"尤三姐","女友","柳湘莲"
"文花","妾","贾珍"
"尤二姐","女","尤老娘"
"贾惜春","女","贾敬"
"焦大","奴仆","贾演"
"喜儿","奴仆","贾珍"
"胡氏","续弦","贾蓉"
"尤三姐","女","尤老娘"
"龄官","女友","贾蔷"
"喜儿","丫鬟","薛宝钗"
"茄官","丫鬟","尤氏"
"偕鸾","妾","贾珍"
"炒豆儿","丫鬟","尤氏"
"彩儿","丫鬟","贾惜春"
"杏奴","奴仆","柳湘莲"
"金荣","子","胡氏"
"佩凤","妾","贾珍"
"金氏","妻","贾璜"
"许氏","续弦","贾蓉"
"胡氏","嫂","金氏"
"尤氏","妻","贾珍"
"宝珠","丫鬟","秦可卿"
"贾珍","子","贾敬"
"贾敷","子","贾代化"
"瑞珠","丫鬟","秦可卿"
"银蝶","丫鬟","尤氏"
